name,price,size,energy,protein,fat,carbs,sugars,sodium,type
FiletOFish,3.9,128,1360,15,15.5,30.5,4.1,695,meal
McChicken,4.9,173,1920,16.8,24.9,40.6,4.3,1180,meal
ChickenMcNuggets6pack,4.6,89,1110,12.9,18.8,11.3,0.4,405,meal
ChickenMcCheese,2.5,128,1410,12.3,18,30.1,5.2,979,meal
PremiumChickenSalad,8,231,957,17.8,10.4,14.8,2.8,383,meal
Hamburger,1.8,91,983,12,9.6,24.4,5.1,535,meal
Cheeseburger,2,106,1180,14.7,13.4,25.1,5.5,767,meal
QuarterPounder,4.9,193,2160,28.8,28.2,35.3,8.3,1200,meal
BigMac,4.7,195,1940,24,25.4,33.9,6.8,1020,meal
TheBoss,6.9,301,3300,46.8,48.6,39.8,8.2,1140,meal
Kiwiburger,6.2,264,2180,32,27.3,34.2,6.9,1060,meal
FrenchFriesSmall,2,72,1010,2.9,13,27.4,0.4,310,meal
FrenchFriesMedium,2.3,98,1380,3.9,17.6,37.2,0.5,421,meal
FrenchFriesLarge,2.7,118,1660,4.7,21.2,44.8,0.6,507,meal
BaconEggMcMuffin,3.9,130,1310,18.9,14.7,24.8,3,852,breakfast
SausageEggMcMuffin,3.9,154,1510,23.7,17.4,25.7,2.2,801,breakfast
MassiveMcMuffin,4.9,218,2070,35.2,24.9,30.9,4.9,1320,breakfast
HashBrown,1.6,64,632,1.5,9.2,15,0.3,390,breakfast
KiwkBigBreakfast,5.5,290,2830,33,41.8,39.1,2.3,1390,breakfast
Hotcakes,3.9,156,1440,6.2,8.4,59,12.6,541,breakfast
ToastedBagel,2.1,93,1090,10.1,2.8,47.1,6.7,534,breakfast
BLTBagel,4.7,158,1750,13.1,19.1,47.1,10.6,916,breakfast
NutriGrain,3.2,30,479,6.6,0.2,20.8,9.6,180,breakfast
JustRight,3.2,45,652,3.6,0.7,32.4,14,14,breakfast
SundaeCaramel,2,176,1090,5.6,2,54,40.5,148,dessert
SundaeHotFudge,2,173,1080,6,3.6,48.8,43.3,142,dessert
SundaeStrawberry,2,171,870,5,1.1,43.4,39.2,66,dessert
SoftServeCone,0.5,89,424,3.5,0.9,19.3,14.1,46,dessert
HotApplePie,2,83,962,2.2,12.6,26.1,9.8,357,dessert
CocaColaSmall,2,238,428,0,0,25.2,25.2,24,drink
CocaColaMedium,2.3,341,614,0,0,26.2,26.2,34,drink
CocaColaLarge,2.7,521,938,0,0,55.2,55.2,52,drink
DietCokeSmall,2,229,3,0.1,0,0.1,0,34,drink
DietCokeMedium,2.3,328,5,0.2,0,0.1,0,49,drink
DietCokeLarge,2.7,501,8,0.3,0,0.1,0,75,drink
ShakeChocolateSmall,2,309,1030,8,2.1,48,38.9,174,drink
ShakeChocolateMedium,2.6,413,1380,10.6,2.7,64.3,52.1,234,drink
ShakeChocolateLarge,3.2,570,1910,14.6,3.8,88.7,71.9,323,drink
OrangeJuiceSmall,2.5,305,625,2.2,0.2,31.6,30.4,3,drink
OrangeJuiceMedium,3,430,882,3.1,0.3,44.5,42.9,4,drink
OrangeJuiceLarge,3.5,580,1190,4.2,0.4,60,57.8,6,drink
